 "experiment" , "image" , "image_url" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314995" , "http://idr.openmicroscopy.org/webclient/?show=image-314995" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314951" , "http://idr.openmicroscopy.org/webclient/?show=image-314951" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314973" , "http://idr.openmicroscopy.org/webclient/?show=image-314973" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938607" , "http://idr.openmicroscopy.org/webclient/?show=image-1938607" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295891" , "http://idr.openmicroscopy.org/webclient/?show=image-295891" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368913" , "http://idr.openmicroscopy.org/webclient/?show=image-368913" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450707" , "http://idr.openmicroscopy.org/webclient/?show=image-450707" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223934" , "http://idr.openmicroscopy.org/webclient/?show=image-223934" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314989" , "http://idr.openmicroscopy.org/webclient/?show=image-314989" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223948" , "http://idr.openmicroscopy.org/webclient/?show=image-223948" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_427044" , "http://idr.openmicroscopy.org/webclient/?show=image-427044" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273203" , "http://idr.openmicroscopy.org/webclient/?show=image-273203" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179715" , "http://idr.openmicroscopy.org/webclient/?show=image-179715" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273211" , "http://idr.openmicroscopy.org/webclient/?show=image-273211" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250116" , "http://idr.openmicroscopy.org/webclient/?show=image-250116" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295938" , "http://idr.openmicroscopy.org/webclient/?show=image-295938" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_273181" , "http://idr.openmicroscopy.org/webclient/?show=image-273181" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_315018" , "http://idr.openmicroscopy.org/webclient/?show=image-315018" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314929" , "http://idr.openmicroscopy.org/webclient/?show=image-314929" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223993" , "http://idr.openmicroscopy.org/webclient/?show=image-223993" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250147" , "http://idr.openmicroscopy.org/webclient/?show=image-250147" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250087" , "http://idr.openmicroscopy.org/webclient/?show=image-250087" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250142" , "http://idr.openmicroscopy.org/webclient/?show=image-250142" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450779" , "http://idr.openmicroscopy.org/webclient/?show=image-450779" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179705" , "http://idr.openmicroscopy.org/webclient/?show=image-179705" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368916" , "http://idr.openmicroscopy.org/webclient/?show=image-368916" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_450703" , "http://idr.openmicroscopy.org/webclient/?show=image-450703" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314959" , "http://idr.openmicroscopy.org/webclient/?show=image-314959" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341930" , "http://idr.openmicroscopy.org/webclient/?show=image-341930" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179779" , "http://idr.openmicroscopy.org/webclient/?show=image-179779" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179737" , "http://idr.openmicroscopy.org/webclient/?show=image-179737" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_295861" , "http://idr.openmicroscopy.org/webclient/?show=image-295861" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_250139" , "http://idr.openmicroscopy.org/webclient/?show=image-250139" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_1938625" , "http://idr.openmicroscopy.org/webclient/?show=image-1938625" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_368891" , "http://idr.openmicroscopy.org/webclient/?show=image-368891" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_223947" , "http://idr.openmicroscopy.org/webclient/?show=image-223947" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_314987" , "http://idr.openmicroscopy.org/webclient/?show=image-314987" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_179765" , "http://idr.openmicroscopy.org/webclient/?show=image-179765" ,
 "https://w3id.org/reproduceme#Experiment_idr0002" , "https://w3id.org/reproduceme#Image_idr0002_341864" , "http://idr.openmicroscopy.org/webclient/?show=image-341864" ,
