 "experiment" , "experimentStep" , "experimentInput" , "experimentInputType" , "experimentInputName" , "experimentOutput" , "experimentOutputType" , "experimentOutputName" ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126000" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126477" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126010" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126147" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125780" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126509" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126449" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126346" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125880" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126035" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125946" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126101" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125902" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126491" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125942" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126235" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125908" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3126227" , "https://w3id.org/reproduceme#Image" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Publication_idr0032" , "https://w3id.org/reproduceme#Publication" ,  ,
 "https://w3id.org/reproduceme#Experiment_idr0032" , "https://w3id.org/reproduceme#ImagingStudy_idr0032" ,  ,  ,  , "https://w3id.org/reproduceme#Image_idr0032_3125812" , "https://w3id.org/reproduceme#Image" ,  ,
